CombinacionID,PatronEolica,CostoTotal,SolucionValida,HorasCriticas
0,000000000000000000000000,120.00,SI,24
1,000000000000000000000001,117.50,SI,23
2,000000000000000000000010,120.00,SI,23
3,000000000000000000000011,112.50,SI,22
4,000000000000000000000100,120.00,SI,23
5,000000000000000000000101,117.50,SI,22
6,000000000000000000000110,112.50,SI,22
7,000000000000000000000111,108.50,SI,21
8,000000000000000000001000,120.00,SI,23
9,000000000000000000001001,117.50,SI,22
10,000000000000000000001010,120.00,SI,22
11,000000000000000000001011,112.50,SI,21
12,000000000000000000001100,112.50,SI,22
13,000000000000000000001101,110.00,SI,21
14,000000000000000000001110,112.50,SI,21
15,000000000000000000001111,103.50,SI,20
16,000000000000000000010000,120.00,SI,23
17,000000000000000000010001,117.50,SI,22
18,000000000000000000010010,120.00,SI,22
19,000000000000000000010011,112.50,SI,21
20,000000000000000000010100,120.00,SI,22
21,000000000000000000010101,117.50,SI,21
22,000000000000000000010110,112.50,SI,21
23,000000000000000000010111,108.50,SI,20
24,000000000000000000011000,112.50,SI,22
25,000000000000000000011001,110.00,SI,21
26,000000000000000000011010,112.50,SI,21
27,000000000000000000011011,105.00,SI,20
28,000000000000000000011100,112.50,SI,21
29,000000000000000000011101,110.00,SI,20
30,000000000000000000011110,103.50,SI,20
31,000000000000000000011111,98.50,SI,19
32,000000000000000000100000,120.00,SI,23
33,000000000000000000100001,117.50,SI,22
34,000000000000000000100010,120.00,SI,22
35,000000000000000000100011,112.50,SI,21
36,000000000000000000100100,120.00,SI,22
37,000000000000000000100101,117.50,SI,21
38,000000000000000000100110,112.50,SI,21
39,000000000000000000100111,108.50,SI,20
40,000000000000000000101000,120.00,SI,22
41,000000000000000000101001,117.50,SI,21
42,000000000000000000101010,120.00,SI,21
43,000000000000000000101011,112.50,SI,20
44,000000000000000000101100,112.50,SI,21
45,000000000000000000101101,110.00,SI,20
46,000000000000000000101110,112.50,SI,20
47,000000000000000000101111,103.50,SI,19
48,000000000000000000110000,112.50,SI,22
49,000000000000000000110001,110.00,SI,21
50,000000000000000000110010,112.50,SI,21
51,000000000000000000110011,105.00,SI,20
52,000000000000000000110100,112.50,SI,21
53,000000000000000000110101,110.00,SI,20
54,000000000000000000110110,105.00,SI,20
55,000000000000000000110111,101.00,SI,19
56,000000000000000000111000,112.50,SI,21
57,000000000000000000111001,110.00,SI,20
58,000000000000000000111010,112.50,SI,20
59,000000000000000000111011,105.00,SI,19
60,000000000000000000111100,103.50,SI,20
61,000000000000000000111101,101.00,SI,19
62,000000000000000000111110,98.50,SI,19
